date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,isST
2012-01-04,sh.600015,3.2961375,3.3488757,3.2551189,3.2580488,3.2902777,18122685,204549210.0,0.363142,1,-0.9795,0
2012-01-05,sh.600015,3.281488,3.3811046,3.2639086,3.3225066,3.2580488,26723053,304018332.0,0.535475,1,1.9784,0
2012-01-06,sh.600015,3.3078571,3.3635252,3.2932076,3.3342262,3.3225066,19617137,222349842.0,0.393087,1,0.3527,0
2012-01-09,sh.600015,3.3342262,3.4309129,3.3137169,3.4250531,3.3342262,41732586,483532938.0,0.836236,1,2.7241,0
2012-01-10,sh.600015,3.427983,3.4660717,3.3898943,3.4543521,3.4250531,23773681,278288171.0,0.476376,1,0.8554,0
2012-01-11,sh.600015,3.4602119,3.4602119,3.4074737,3.4133335,3.4543521,13406018,156954758.0,0.268629,1,-1.1874,0
2012-01-12,sh.600015,3.4016139,3.4807212,3.398684,3.4426325,3.4133335,25422253,299982299.0,0.50941,1,0.8584,0
2012-01-13,sh.600015,3.4484923,3.4690016,3.3869644,3.3898943,3.4426325,19017874,222176153.0,0.381079,1,-1.5319,0
2012-01-16,sh.600015,3.369385,3.4309129,3.340086,3.3664551,3.3898943,17057328,198167376.0,0.341794,1,-0.6914,0
2012-01-17,sh.600015,3.3840345,3.4719315,3.3254365,3.4719315,3.3664551,25793048,301439722.0,0.51684,1,3.1332,0
2012-01-18,sh.600015,3.457282,3.4660717,3.3957541,3.4250531,3.4719315,16074203,188245942.0,0.322094,1,-1.3502,0
2012-01-19,sh.600015,3.4162634,3.4895109,3.3898943,3.4484923,3.4250531,21836441,256529035.0,0.437558,1,0.6843,0
2012-01-20,sh.600015,3.4748614,3.5568986,3.4397026,3.5510388,3.4484923,45304354,541252345.0,0.907807,1,2.9737,0
2012-01-30,sh.600015,3.545179,3.5510388,3.486581,3.4983006,3.5510388,22604375,271512615.0,0.452946,1,-1.4851,0
2012-01-31,sh.600015,3.51588,3.5334594,3.4543521,3.4895109,3.4983006,9723875,115678367.0,0.194847,1,-0.2513,0
2012-02-01,sh.600015,3.457282,3.4924408,3.3869644,3.4016139,3.4895109,22569957,264108318.0,0.452256,1,-2.5189,0
2012-02-02,sh.600015,3.4104036,3.51588,3.398684,3.5012305,3.4016139,24185663,285388910.0,0.484631,1,2.9285,0
2012-02-03,sh.600015,3.486581,3.5510388,3.4777913,3.5188099,3.5012305,37145863,445058355.0,0.744327,1,0.5021,0
2012-02-06,sh.600015,3.5275996,3.5305295,3.4250531,3.457282,3.5188099,31523295,372926922.0,0.631662,1,-1.7485,0
2012-02-07,sh.600015,3.4397026,3.4426325,3.3664551,3.3869644,3.457282,21793480,252330529.0,0.436697,1,-2.0339,0
2012-02-08,sh.600015,3.3928242,3.4777913,3.3781747,3.4602119,3.3869644,33865792,396307125.0,0.678601,1,2.1626,0
2012-02-09,sh.600015,3.4484923,3.4602119,3.4133335,3.4484923,3.4602119,30837484,361574478.0,0.61792,1,-0.3387,0
2012-02-10,sh.600015,3.427983,3.4690016,3.398684,3.4191933,3.4484923,30577375,357875650.0,0.612708,1,-0.8496,0
2012-02-13,sh.600015,3.3547355,3.4221232,3.340086,3.369385,3.4191933,39393031,452591624.0,0.789356,1,-1.4567,0
2012-02-14,sh.600015,3.3664551,3.3664551,3.3078571,3.3576654,3.369385,28462331,323699361.0,0.570327,1,-0.3478,0
2012-02-15,sh.600015,3.3518056,3.3869644,3.3283664,3.3576654,3.3576654,35155804,402258186.0,0.704451,1,0.0,0
2012-02-16,sh.600015,3.3576654,3.3664551,3.3225066,3.3430159,3.3576654,26058391,297196796.0,0.522157,1,-0.4363,0
2012-02-17,sh.600015,3.3635252,3.3723149,3.310787,3.3283664,3.3430159,31759159,361491365.0,0.636389,1,-0.4382,0
2012-02-20,sh.600015,3.3898943,3.3898943,3.3166468,3.3371561,3.3283664,48636850,556099505.0,0.974583,1,0.2641,0
2012-02-21,sh.600015,3.3430159,3.3488757,3.3137169,3.3430159,3.3371561,31530628,358557052.0,0.631809,1,0.1756,0
2012-02-22,sh.600015,3.3459458,3.3752448,3.3225066,3.3723149,3.3430159,51117585,583661980.0,1.024292,1,0.8764,0
2012-02-23,sh.600015,3.3664551,3.3811046,3.3459458,3.3605953,3.3723149,40856230,469165309.0,0.818675,1,-0.3475,0
2012-02-24,sh.600015,3.3605953,3.4397026,3.340086,3.4309129,3.3605953,69530274,804111481.0,1.393245,1,2.0924,0
2012-02-27,sh.600015,3.4309129,3.457282,3.4016139,3.4074737,3.4309129,68123872,796574184.0,1.365063,1,-0.6832,0
2012-02-28,sh.600015,3.4074737,3.4631418,3.4045438,3.4338428,3.4074737,59402161,696563827.0,1.190298,1,0.7739,0
2012-02-29,sh.600015,3.4309129,3.4309129,3.3869644,3.3898943,3.4338428,27048027,314519367.0,0.541987,1,-1.2799,0
2012-03-01,sh.600015,3.3752448,3.4045438,3.3635252,3.3781747,3.3898943,19210467,221937194.0,0.384939,1,-0.3457,0
2012-03-02,sh.600015,3.3781747,3.4250531,3.3752448,3.4221232,3.3781747,30462974,354220261.0,0.610416,1,1.301,0
2012-03-05,sh.600015,3.4397026,3.4426325,3.3723149,3.3781747,3.4221232,35321858,409736384.0,0.707778,1,-1.2842,0
2012-03-06,sh.600015,3.369385,3.3840345,3.281488,3.2902777,3.3781747,33103407,374433305.0,0.663325,1,-2.6019,0
2012-03-07,sh.600015,3.2668385,3.2844179,3.2375395,3.2433993,3.2902777,32854146,366220067.0,0.65833,1,-1.4248,0
2012-03-08,sh.600015,3.2580488,3.2961375,3.2463292,3.2639086,3.2433993,36350099,405026125.0,0.728382,1,0.6323,0
2012-03-09,sh.600015,3.2726983,3.2961375,3.2492591,3.2873478,3.2639086,31966703,357222137.0,0.640547,1,0.7181,0
2012-03-12,sh.600015,3.281488,3.2844179,3.2258199,3.2492591,3.2873478,35665467,395084497.0,0.714663,1,-1.1586,0
2012-03-13,sh.600015,3.2492591,3.310787,3.2433993,3.2990674,3.2492591,40496298,454858033.0,0.811463,1,1.5329,0
2012-03-14,sh.600015,3.3166468,3.3283664,3.2199601,3.2375395,3.2990674,45467217,509545705.0,0.91107,1,-1.865,0
2012-03-15,sh.600015,3.2346096,3.2609787,3.2053106,3.2082405,3.2375395,26163137,288925293.0,0.524256,1,-0.905,0
2012-03-16,sh.600015,3.2316797,3.2433993,3.1877312,3.2287498,3.2082405,21434735,235268286.0,0.429508,1,0.6393,0
