序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,中芯国际概念,4250.1,1.78,1283.86,1301.77,-17.91,89,正帆科技,20.0,56.22
2,光刻机,3381.5,1.57,381.9,409.56,-27.65,49,富创精密,17.55,269.19
3,硅能源,1239.49,1.13,307.85,325.34,-17.49,63,有研硅,20.0,30.9
4,猪肉,2058.13,1.05,32.16,27.64,4.52,32,神农集团,10.02,27.23
5,光刻胶,6141.21,0.66,381.38,382.67,-1.29,77,佳先股份,11.2,18.97
6,电子纸,1457.14,0.56,264.48,211.71,52.77,26,惠科股份,329.45,43.46
7,养鸡,1042.28,0.54,13.3,12.52,0.77,22,天马科技,4.61,12.48
8,MicroLED概念,2165.45,0.47,691.75,725.7,-33.95,79,雷曼光电,19.98,12.13
9,有机硅概念,2299.43,0.46,140.62,156.21,-15.59,51,润禾材料,10.42,38.8
10,OLED,3795.63,0.43,1498.29,1498.56,-0.27,154,惠科股份,329.45,43.46
11,国家大基金持股,3779.86,0.28,1118.19,1152.01,-33.82,49,艾森股份,8.81,95.97
12,先进封装,3449.84,0.21,2204.94,2375.82,-170.88,191,雷曼光电,19.98,12.13
13,存储芯片,3397.45,0.19,2773.32,2964.04,-190.72,198,有研硅,20.0,30.9
14,大豆,1452.78,-0.03,11.57,13.66,-2.1,15,新安股份,4.67,17.95
15,HJT电池,3317.79,-0.17,268.31,305.02,-36.71,67,TCL中环,10.03,11.19
16,TOPCON电池,1224.35,-0.18,356.71,396.44,-39.73,82,TCL中环,10.03,11.19
17,MiniLED,3304.88,-0.26,991.55,1043.25,-51.7,105,惠科股份,329.45,43.46
18,生态农业,1459.29,-0.3,28.21,31.53,-3.32,60,莱赛激光,19.89,12.96
19,BC电池,1396.61,-0.32,222.01,229.72,-7.71,52,TCL中环,10.03,11.19
20,钙钛矿电池,1283.05,-0.35,557.39,632.39,-75.0,91,大胜达,10.0,18.81
21,丙烯酸,1913.36,-0.35,40.21,53.68,-13.47,20,阿科力,10.0,39.6
22,ST板块,461.095,-0.36,55.94,51.65,4.28,216,*ST开元,19.76,3.01
23,第三代半导体,3188.08,-0.53,1470.09,1616.68,-146.59,176,正帆科技,20.0,56.22
24,租售同权,719.014,-0.53,28.79,27.54,1.26,29,合肥城建,7.57,16.76
25,光热发电,991.528,-0.6,41.06,45.25,-4.2,48,新风光,10.89,91.23
26,柔性屏(折叠屏),3935.34,-0.65,733.34,734.56,-1.22,107,雷曼光电,19.98,12.13
27,可燃冰,1429.27,-0.66,13.5,15.09,-1.59,14,海默科技,12.04,12.48
28,摘帽,943.772,-0.76,62.91,69.74,-6.83,67,川大智胜,10.02,10.87
29,MR(混合现实),1890.63,-0.82,335.8,414.35,-78.55,70,佳创视讯,20.02,9.77
30,草甘膦,1388.45,-0.84,36.71,39.35,-2.64,19,新安股份,4.67,17.95
31,转基因,1534.05,-0.87,11.1,12.4,-1.3,20,新安股份,4.67,17.95
32,军民融合,1582.98,-0.88,436.22,444.69,-8.47,245,莱赛激光,19.89,12.96
33,成飞概念,1864.89,-0.89,61.08,61.69,-0.61,43,川大智胜,10.02,10.87
34,农村电商,1544.36,-0.94,18.06,19.79,-1.73,37,ST司特,4.44,6.11
35,民爆概念,1614.62,-0.94,19.41,23.11,-3.7,25,国泰集团,9.98,15.43
36,玉米,2069.71,-1.0,15.14,17.73,-2.6,32,新安股份,4.67,17.95
37,中韩自贸区,2204.91,-1.08,42.74,38.54,4.2,17,江丰电子,7.58,355.0
38,广东自贸区,1253.06,-1.09,31.57,31.16,0.41,27,贤丰控股,9.92,5.76
39,芯片概念,5714.62,-1.12,6377.06,7068.63,-691.57,897,惠科股份,329.45,43.46
40,POE胶膜,873.048,-1.13,41.64,50.08,-8.43,29,激智科技,4.94,32.06
41,商业航天,2380.82,-1.15,1984.3,2279.48,-295.18,497,蜀道装备,19.98,30.5
42,预制菜,911.967,-1.15,41.72,47.93,-6.21,101,神农集团,10.02,27.23
43,光伏概念,4705.63,-1.17,2433.4,2670.31,-236.91,597,信德新材,20.0,75.6
44,足球概念,1423.39,-1.2,33.38,39.16,-5.77,39,雷曼光电,19.98,12.13
45,军工信息化,1661.17,-1.2,151.52,135.03,16.5,111,上海瀚讯,12.81,45.65
