序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,教育,3419.17,1.31,4.41,4.83,-0.42,15,*ST开元,18.58,3.0
2,电子化学品,124603.0,1.06,393.44,384.5,8.93,42,硅烷科技,13.15,14.46
3,光学光电子,6306.49,0.58,562.83,519.09,43.74,108,惠科股份,333.3,43.85
4,光伏设备,8161.95,-0.22,220.45,211.96,8.49,73,TCL中环,10.03,11.19
5,半导体,21037.9,-0.27,2367.27,2460.13,-92.86,180,有研硅,20.0,30.9
6,风电设备,4520.03,-0.44,65.35,53.55,11.8,32,三一重能,9.02,14.51
7,军工装备,2167.65,-0.48,203.54,181.05,22.49,82,电科蓝天,11.76,71.08
8,养殖业,2490.93,-0.51,27.98,25.73,2.25,36,神农集团,10.02,27.23
9,汽车服务及其他,1006.35,-0.56,13.32,13.3,0.01,25,征和工业,10.0,57.33
10,农产品加工,3183.2,-0.75,11.5,11.12,0.38,42,路德科技,14.9,29.84
11,建筑材料,5856.33,-0.78,180.82,192.03,-11.21,73,国际复材,8.96,52.17
12,军工电子,13295.5,-0.83,142.51,133.01,9.49,62,上海瀚讯,12.64,45.55
13,其他社会服务,19750.9,-0.87,24.88,24.23,0.65,82,杰恩股份,18.31,66.8
14,银行,1236.45,-0.92,77.83,105.69,-27.86,84,宁波银行,1.07,31.12
15,贸易,2457.93,-1.0,7.9,7.35,0.55,15,怡亚通,1.99,5.63
16,工程机械,3078.87,-1.04,22.59,22.46,0.13,36,中力股份,9.99,36.89
17,电力,1899.92,-1.07,156.44,185.03,-28.59,109,节能风电,10.06,3.94
18,互联网电商,8354.76,-1.1,12.58,14.23,-1.65,19,华凯易佰,14.01,17.09
19,化学制品,7541.5,-1.12,218.6,252.12,-33.52,177,润禾材料,10.19,38.72
20,饮料制造,4339.51,-1.17,15.62,19.66,-4.04,46,庄园牧场,10.04,12.27
21,专用设备,7581.22,-1.2,214.6,227.59,-12.98,200,正帆科技,20.0,56.22
22,房地产,1566.28,-1.21,68.52,68.07,0.45,87,盈新发展,9.97,3.42
23,物流,4709.62,-1.26,12.77,14.65,-1.88,50,宏川智慧,10.04,9.43
24,公路铁路运输,1211.51,-1.26,7.72,9.61,-1.88,32,皖通高速,3.24,15.95
25,轨交设备,982.956,-1.29,14.14,16.69,-2.56,30,哈铁科技,4.3,8.24
26,橡胶制品,14162.4,-1.39,21.23,24.73,-3.5,22,彤程新材,10.0,85.83
27,建筑装饰,3974.87,-1.45,131.14,159.18,-28.04,146,圣晖集成,10.0,135.58
28,综合,2155.32,-1.46,17.14,25.47,-8.33,16,综艺股份,5.25,6.81
29,种植业与林业,3701.21,-1.53,8.49,10.8,-2.31,30,大禹节水,2.33,3.96
30,服装家纺,2753.55,-1.58,20.28,22.36,-2.09,75,酷特智能,5.82,20.72
31,家居用品,3712.95,-1.63,23.13,22.22,0.92,98,顶固集创,14.54,27.57
32,农化制品,4568.26,-1.67,72.89,91.22,-18.33,61,ST司特,4.27,6.1
33,化学纤维,3830.41,-1.68,41.91,53.86,-11.95,29,恒逸石化,7.47,16.69
34,包装印刷,4408.93,-1.71,37.51,48.11,-10.6,46,新莱应材,14.91,93.2
35,白色家电,7724.54,-1.72,54.51,63.94,-9.43,45,海立股份,7.44,15.16
36,造纸,1949.82,-1.73,8.22,8.04,0.19,24,山鹰国际,2.94,1.4
37,旅游及酒店,2520.94,-1.75,5.83,8.31,-2.48,35,ST云网,3.19,1.94
38,美容护理,4440.2,-1.75,5.81,7.08,-1.27,33,丸美生物,4.92,23.26
39,化学原料,3141.72,-1.79,66.08,75.61,-9.54,59,佳先股份,11.49,19.02
40,纺织制造,2165.02,-1.82,8.77,13.5,-4.73,33,金春股份,11.75,31.77
41,机场航运,1835.86,-1.87,12.86,19.48,-6.62,13,春秋航空,0.25,47.62
42,医疗服务,16002.3,-1.93,74.41,84.87,-10.46,56,百诚医药,12.69,59.85
43,小金属,10514.0,-1.99,244.32,301.26,-56.94,29,宝武镁业,6.66,13.46
44,通用设备,9551.66,-1.99,291.09,324.66,-33.57,250,莱赛激光,19.89,12.96
45,港口航运,1127.3,-2.1,36.91,48.7,-11.79,36,安通控股,2.82,4.74
46,元件,30578.2,-2.11,602.39,736.73,-134.34,62,超声电子,10.01,28.46
47,食品加工制造,4386.61,-2.14,29.15,35.12,-5.97,66,千味央厨,10.0,39.17
48,石油加工贸易,3328.67,-2.16,22.3,25.79,-3.49,27,中国石油,1.93,8.98
49,塑料制品,11606.5,-2.18,103.17,127.78,-24.61,78,兴业股份,9.98,12.23
50,文化传媒,2406.66,-2.18,50.11,71.35,-21.24,85,返利科技,9.99,10.79
51,环保设备,1411.45,-2.24,23.72,23.03,0.7,30,创元科技,6.58,18.31
52,零售,1676.38,-2.24,30.23,39.78,-9.55,72,*ST皇庭,5.08,2.07
53,游戏,8834.15,-2.26,53.38,58.88,-5.5,24,中青宝,2.25,14.11
54,黑色家电,4095.24,-2.31,7.55,10.18,-2.64,9,海信视像,1.07,25.55
55,油气开采及服务,1464.7,-2.35,13.23,15.85,-2.61,19,*ST准油,1.61,6.3
56,钢铁,1446.22,-2.45,31.01,42.82,-11.81,44,广东明珠,4.18,7.23
57,燃气,1698.55,-2.48,9.26,9.96,-0.7,27,九丰能源,2.84,35.1
58,汽车零部件,5852.5,-2.49,164.04,191.33,-27.29,270,祥鑫科技,10.01,51.88
59,非金属材料,40169.4,-2.5,45.46,46.47,-1.02,15,石英股份,3.75,86.69
60,环境治理,3932.99,-2.64,50.73,57.42,-6.69,112,中持股份,10.03,12.84
61,自动化设备,32352.6,-2.71,279.22,357.21,-77.99,96,海希通讯,11.26,16.8
62,影视院线,1175.09,-2.73,12.88,19.55,-6.67,20,ST华谊,4.64,1.58
63,汽车整车,2430.21,-2.75,35.92,51.72,-15.8,23,宇通客车,1.73,27.03
64,其他电子,25164.0,-2.78,132.48,148.77,-16.29,34,世华科技,6.16,36.86
65,中药,2769.24,-2.78,16.1,26.38,-10.28,68,康惠股份,3.85,41.28
66,白酒,1850.57,-2.81,41.37,58.56,-17.19,19,顺鑫农业,-0.2,9.83
67,煤炭开采加工,2557.14,-2.84,32.47,36.59,-4.12,34,中国神华,0.79,39.71
68,消费电子,13712.9,-2.86,407.53,493.66,-86.13,95,信濠光电,19.98,20.96
69,电网设备,6476.2,-3.02,133.94,169.42,-35.48,139,新风光,10.88,91.22
70,金属新材料,16651.1,-3.03,62.26,68.97,-6.71,34,斯瑞新材,9.8,44.27
71,医疗器械,10008.5,-3.06,52.26,62.5,-10.24,140,力诺药包,7.64,71.29
72,小家电,3739.64,-3.09,4.01,5.46,-1.45,25,奥佳华,0.0,4.47
73,计算机设备,3925.35,-3.15,172.81,209.56,-36.75,83,奔图科技,9.98,14.55
74,软件开发,1781.32,-3.16,137.95,174.66,-36.71,139,安博通,10.77,63.45
75,医药商业,3999.51,-3.19,5.16,8.23,-3.07,32,ST海王,2.19,1.4
76,贵金属,4438.7,-3.22,72.14,88.07,-15.93,14,紫金矿业,-1.1,25.26
77,生物制品,5343.72,-3.29,18.63,30.04,-11.41,54,三元基因,1.99,18.49
78,IT服务,11780.1,-3.38,149.54,181.46,-31.92,130,佳创视讯,20.02,9.77
79,证券,1462.02,-3.39,213.67,285.03,-71.35,50,中信建投,2.67,30.35
80,厨卫电器,5346.6,-3.43,1.71,2.01,-0.3,9,日出东方,-1.1,6.32
81,通信服务,2704.78,-3.52,53.78,67.03,-13.24,45,ST信通,3.28,5.35
82,多元金融,1030.41,-3.7,13.9,21.51,-7.61,26,鲁信创投,5.79,19.91
83,其他电源设备,6900.6,-3.75,96.32,116.65,-20.34,35,科华数据,4.02,43.95
84,电机,3476.85,-3.8,16.6,21.03,-4.43,26,安乃达,2.95,31.42
85,工业金属,4241.67,-4.17,152.95,207.32,-54.37,55,驰宏锌锗,2.52,12.62
86,化学制药,5512.05,-4.39,82.55,120.3,-37.74,159,花园生物,2.08,22.56
87,保险,1846.75,-4.49,32.53,62.68,-30.14,5,中国人保,-3.74,6.95
88,通信设备,10174.5,-4.57,943.79,1222.77,-278.98,91,信科移动,8.82,19.73
89,电池,20634.1,-4.64,332.84,458.71,-125.87,105,信德新材,20.0,75.6
90,能源金属,36700.4,-5.77,79.12,111.05,-31.93,12,博迁新材,8.2,267.09
