序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
1,688432,有研硅,30.9,7.7,325.0,20.0,-0.07,1768,21.7,-0.12,1741,33.59,半导体
2,688596,正帆科技,56.22,-2.14,2269.0,20.0,2.83,632,21.95,-1.63,2953,18.56,专用设备
3,688409,富创精密,269.04,9.41,223.0,17.48,2.26,798,32.34,0.91,1179,53.14,半导体
4,688584,上海合晶,34.18,-2.49,2372.0,17.01,-3.01,3251,14.43,-0.78,2356,19.18,半导体
5,688392,骄成超声,207.11,6.53,421.0,15.71,3.78,443,22.33,2.78,479,27.14,电池
6,688156,路德科技,29.91,1.89,1160.0,15.17,-3.53,3516,1.84,-3.43,4067,11.69,环境治理
7,688328,深科达,88.92,7.13,378.0,12.73,1.04,1218,14.0,1.81,756,32.16,专用设备
8,688028,沃尔德,144.1,0.54,1489.0,12.44,0.94,1262,22.86,-0.73,2309,39.9,通用设备
9,688272,富吉瑞,37.07,-2.53,2384.0,11.93,-5.01,4171,7.51,-6.61,5139,8.71,军工电子Ⅱ
10,688818,电科蓝天,70.91,5.31,570.0,11.49,-3.3,3402,1.59,-3.73,4198,6.38,航天装备Ⅱ
11,688110,东芯股份,200.0,0.14,1710.0,11.45,1.28,1159,29.52,2.68,545,57.51,半导体
12,688168,安博通,63.63,7.97,302.0,11.09,2.4,745,-3.42,0.65,1294,15.78,软件开发
13,688663,新风光,91.21,7.47,344.0,10.87,2.68,674,0.4,5.1,121,6.84,电网设备
14,688535,华海诚科,164.43,3.57,841.0,10.73,2.67,676,7.54,1.59,933,25.33,半导体
15,688359,三孚新科,189.59,5.42,544.0,9.98,2.44,726,8.07,0.12,1592,30.43,电子化学品Ⅱ
16,688102,斯瑞新材,44.26,-4.42,2920.0,9.77,-4.99,4158,-3.26,-1.91,3176,8.61,金属新材料
17,688003,天准科技,128.77,-2.09,2245.0,9.75,-0.59,2010,3.5,2.14,703,34.74,自动化设备
18,688448,磁谷科技,59.18,-13.38,4725.0,9.61,-1.9,2463,-0.99,-1.67,2739,14.4,通用设备
19,688349,三一重能,14.51,4.33,726.0,9.02,1.51,1026,2.76,1.51,886,6.85,风电设备
20,688665,四方光电,63.94,6.09,472.0,8.87,-1.25,2364,4.0,1.36,946,15.27,通用设备
21,688720,艾森股份,95.81,3.92,786.0,8.63,0.0,1692,11.6,-0.87,2218,30.34,半导体
22,688387,信科移动-U,19.68,7.37,355.0,8.55,4.19,373,11.06,1.26,988,24.95,通信设备
23,688519,南亚新材,411.7,0.23,1568.0,8.35,-1.36,2421,3.7,-1.9,3168,34.76,元件
24,688361,中科飞测,358.47,2.27,1082.0,7.97,1.26,1143,42.13,0.99,1229,68.49,半导体
