序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
65,301321,翰博高新,43.06,19.83,36.0,5.41,1.46,1051,9.32,1.33,1045,41.6,光学光电子
4,300162,雷曼光电,12.13,19.8,37.0,19.98,4.91,282,8.79,3.02,461,13.47,光学光电子
1,300264,佳创视讯,9.77,15.36,78.0,20.02,1.37,1096,10.9,-3.8,4244,-10.94,IT服务Ⅱ
18,300102,乾照光电,24.6,13.61,96.0,11.01,-0.67,2054,-0.08,0.41,1550,8.99,光学光电子
114,301306,西测测试,169.0,12.95,116.0,2.97,-0.47,1968,-2.87,4.05,262,36.62,军工电子Ⅱ
120,300710,万隆光电,36.45,9.62,214.0,2.68,1.57,1008,4.95,-4.16,4399,-6.3,通信设备
11,300592,华凯易佰,17.14,9.19,232.0,14.34,2.47,714,40.95,2.4,620,31.04,互联网电商
281,300277,汽轮科技,14.92,8.8,254.0,-0.4,2.34,765,1.5,-0.08,1876,13.03,IT服务Ⅱ
75,300566,激智科技,32.05,8.34,285.0,4.91,-4.77,4068,-6.86,-2.37,3498,10.52,光学光电子
5,301051,信濠光电,20.96,8.05,296.0,19.98,6.29,161,32.24,3.74,308,30.19,消费电子
884,301162,国能日新,42.25,7.94,304.0,-3.38,2.8,642,3.63,1.06,1184,13.88,软件开发
17,301236,软通动力,41.55,7.78,315.0,11.72,2.56,698,7.75,-2.25,3418,1.14,IT服务Ⅱ
9,300088,长信科技,11.8,7.73,320.0,14.67,-0.8,2122,13.79,-1.41,2806,51.48,光学光电子
254,300211,*ST亿通,7.32,7.49,343.0,0.0,1.46,1055,-7.69,1.97,766,-3.05,通信服务
1352,300518,新迅达,29.62,7.42,350.0,-7.98,5.5,217,-1.73,1.6,926,12.92,互联网电商
601,300397,天和防务,14.89,7.4,354.0,-2.36,-1.93,2736,-7.0,0.41,1551,14.36,军工电子Ⅱ
13,300762,上海瀚讯,45.48,7.32,359.0,12.46,2.9,618,11.2,1.0,1221,20.06,军工电子Ⅱ
784,301326,捷邦科技,142.89,7.13,377.0,-2.99,0.61,1414,-5.99,1.73,873,8.46,消费电子
228,300691,联合光电,15.9,6.65,412.0,0.32,0.38,1505,-5.13,-1.95,3210,-7.45,计算机设备
280,301589,诺瓦星云,144.01,6.58,415.0,-0.34,0.03,1677,-8.12,1.88,803,1.95,计算机设备
207,300269,联建光电,4.76,6.51,425.0,0.63,1.91,906,-2.46,-1.34,2749,-1.86,光学光电子
826,300687,赛意信息,27.27,6.35,445.0,-3.16,3.78,443,-0.37,4.43,212,18.67,IT服务Ⅱ
97,300545,联得装备,39.3,6.11,426.0,3.83,2.51,643,4.63,0.68,1271,13.58,光学光电子
61,300219,鸿利智汇,10.08,5.85,450.0,5.55,3.79,408,11.38,0.26,1511,21.01,光学光电子
127,300689,澄天伟业,62.93,5.75,460.0,2.54,-1.82,2424,-0.11,-3.13,3613,19.3,通信设备
84,301348,蓝箭电子,31.11,5.72,463.0,4.29,-0.37,1727,10.32,1.75,783,24.34,半导体
74,300655,晶瑞电材,18.65,5.62,477.0,4.95,1.85,832,13.65,-1.0,2315,16.27,电子化学品Ⅱ
898,301577,美信科技,82.28,5.51,489.0,-3.45,-5.59,4068,-15.14,-2.94,3515,-7.73,通信设备
323,300921,南凌科技,21.13,5.33,511.0,-0.89,-5.65,4089,-5.08,-4.3,4148,25.4,通信服务
184,301067,显盈科技,34.64,5.2,539.0,0.93,2.69,612,-2.31,0.76,1240,9.07,消费电子
174,300352,ST信源,2.71,5.17,544.0,1.12,-9.69,4960,-7.82,-2.06,3015,6.69,软件开发
60,301095,广立微,106.42,5.17,545.0,5.66,3.01,542,3.82,1.79,762,8.14,软件开发
