序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
6,电子纸,1457.14,0.56,264.48,211.71,52.77,26,惠科股份,329.45,43.46
10,OLED,3795.63,0.43,1498.29,1498.56,-0.27,154,惠科股份,329.45,43.46
5,光刻胶,6141.21,0.66,381.38,382.67,-1.29,77,佳先股份,11.2,18.97
137,电子竞技,457.864,-1.88,57.75,69.78,-12.03,35,天娱数科,9.96,8.83
241,数据确权,1386.2,-2.55,65.23,84.04,-18.81,69,杰恩股份,18.31,66.8
2,光刻机,3381.5,1.57,381.9,409.56,-27.65,49,富创精密,17.55,269.19
8,MicroLED概念,2165.45,0.47,691.75,725.7,-33.95,79,雷曼光电,19.98,12.13
142,MCU芯片,1984.23,-1.92,638.28,688.88,-50.6,93,奔图科技,9.98,14.55
17,MiniLED,3304.88,-0.26,991.55,1043.25,-51.7,105,惠科股份,329.45,43.46
165,汽车芯片,1604.79,-2.16,1364.91,1510.03,-145.12,143,华海诚科,11.7,165.88
23,第三代半导体,3188.08,-0.53,1470.09,1616.68,-146.59,176,正帆科技,20.0,56.22
293,数据要素,1118.81,-2.76,506.15,675.06,-168.91,391,软通动力,11.62,41.51
12,先进封装,3449.84,0.21,2204.94,2375.82,-170.88,191,雷曼光电,19.98,12.13
13,存储芯片,3397.45,0.19,2773.32,2964.04,-190.72,198,有研硅,20.0,30.9
178,工业互联网,2641.76,-2.21,1246.21,1467.72,-221.51,437,软通动力,11.97,41.64
146,消费电子概念,3636.52,-1.93,2406.61,2654.79,-248.17,493,惠科股份,329.45,43.46
228,人工智能,1254.62,-2.49,2172.47,2475.7,-303.23,1071,佳创视讯,20.02,9.77
162,PCB概念,3289.78,-2.12,1498.84,1818.7,-319.86,226,超声电子,10.01,28.46
251,人形机器人,2565.97,-2.46,1563.32,1898.48,-335.16,456,骄成超声,13.54,203.22
249,人形机器人,2562.91,-2.58,1567.11,1902.71,-335.6,456,骄成超声,16.38,208.3
203,汽车电子,6229.21,-2.32,2410.99,2756.82,-345.84,385,长信科技,14.29,11.76
230,液冷服务器,2454.49,-2.49,1408.6,1771.52,-362.92,222,骄成超声,16.38,208.3
214,机器人概念,4009.68,-2.38,3118.46,3714.28,-595.82,1203,莱赛激光,19.89,12.96
39,芯片概念,5714.62,-1.12,6377.06,7068.63,-691.57,897,惠科股份,329.45,43.46
