序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
3,光学光电子,6306.49,0.58,562.83,519.09,43.74,108,惠科股份,333.3,43.85
12,军工电子,13295.5,-0.83,142.51,133.01,9.49,62,上海瀚讯,12.64,45.55
2,电子化学品,124603.0,1.06,393.44,384.5,8.93,42,硅烷科技,13.15,14.46
18,互联网电商,8354.76,-1.1,12.58,14.23,-1.65,19,华凯易佰,14.01,17.09
81,通信服务,2704.78,-3.52,53.78,67.03,-13.24,45,ST信通,3.28,5.35
64,其他电子,25164.0,-2.78,132.48,148.77,-16.29,34,世华科技,6.16,36.86
78,IT服务,11780.1,-3.38,149.54,181.46,-31.92,130,佳创视讯,20.02,9.77
74,软件开发,1781.32,-3.16,137.95,174.66,-36.71,139,安博通,10.77,63.45
73,计算机设备,3925.35,-3.15,172.81,209.56,-36.75,83,奔图科技,9.98,14.55
68,消费电子,13712.9,-2.86,407.53,493.66,-86.13,95,信濠光电,19.98,20.96
5,半导体,21037.9,-0.27,2367.27,2460.13,-92.86,180,有研硅,20.0,30.9
46,元件,30578.2,-2.11,602.39,736.73,-134.34,62,超声电子,10.01,28.46
88,通信设备,10174.5,-4.57,943.79,1222.77,-278.98,91,信科移动,8.82,19.73
