序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
113,688141,杰华特,148.26,16.85,64.0,0.94,5.17,251,3.73,5.81,77,18.93,半导体
322,688500,慧辰股份,45.17,16.25,68.0,-2.88,2.33,773,-13.23,1.05,1090,-12.97,IT服务Ⅱ
46,688061,灿瑞科技,50.78,13.38,104.0,4.85,2.07,859,6.66,-1.33,2747,23.43,半导体
183,688479,友车科技,36.68,13.05,114.0,-1.08,0.75,1345,-2.21,1.4,1021,19.71,软件开发
261,688496,*ST清越,0.93,12.55,125.0,-2.11,0.95,1254,5.68,-1.71,2767,-11.43,光学光电子
364,688788,科思科技,44.13,11.76,141.0,-3.22,3.8,436,2.84,2.78,480,34.05,军工电子Ⅱ
51,688486,龙迅股份,58.82,11.42,153.0,4.31,2.78,649,3.57,2.81,469,16.04,半导体
127,688053,ST思科瑞,36.04,11.37,154.0,0.45,2.91,618,-1.53,0.07,1618,2.82,军工电子Ⅱ
36,688093,世华科技,36.81,11.28,157.0,6.02,9.89,30,23.44,5.6,96,31.65,其他电子Ⅱ
109,688207,格灵深瞳,19.16,10.86,178.0,1.22,-1.75,2636,-9.32,0.75,1245,6.03,IT服务Ⅱ
40,688233,神工股份,162.0,10.06,201.0,5.43,3.35,519,30.26,2.32,654,62.73,半导体
3,688409,富创精密,269.04,9.41,223.0,17.48,2.26,798,32.34,0.91,1179,53.14,半导体
125,688100,威胜信息,30.37,9.16,234.0,0.53,-0.31,1876,-3.28,-0.75,2332,-1.07,通信设备
82,688127,蓝特光学,98.03,8.8,253.0,2.16,3.95,411,9.56,4.72,176,22.52,光学光电子
93,688385,复旦微电,64.9,8.63,262.0,1.68,2.32,775,8.17,2.56,530,21.74,半导体
439,688601,力芯微,56.54,8.6,264.0,-4.02,-4.95,4146,-7.69,-0.26,1829,7.9,半导体
32,688507,索辰科技,294.74,8.48,273.0,6.4,1.39,1088,15.81,-0.17,1769,42.83,软件开发
191,688210,统联精密,39.84,8.38,281.0,-1.21,2.64,686,-11.98,1.04,1096,-5.48,消费电子
103,688216,气派科技,40.01,8.21,291.0,1.37,3.99,403,2.07,-1.39,2795,2.01,半导体
12,688168,安博通,63.63,7.97,302.0,11.09,2.4,745,-3.42,0.65,1294,15.78,软件开发
1,688432,有研硅,30.9,7.7,325.0,20.0,-0.07,1768,21.7,-0.12,1741,33.59,半导体
141,688595,芯海科技,40.22,7.43,350.0,0.05,0.81,1315,0.55,-0.92,2464,10.46,半导体
22,688387,信科移动-U,19.68,7.37,355.0,8.55,4.19,373,11.06,1.26,988,24.95,通信设备
52,688721,龙图光罩,54.63,7.21,366.0,4.22,1.14,1191,3.04,-1.65,2725,11.35,半导体
27,688605,先锋精科,99.03,7.02,386.0,7.09,4.27,359,13.92,0.69,1269,19.64,半导体
118,688150,莱特光电,64.47,6.95,391.0,0.78,3.95,412,11.48,5.96,75,37.2,电子化学品Ⅱ
264,688593,新相微,35.83,6.34,447.0,-2.13,6.33,159,8.05,3.32,397,23.72,半导体
343,688030,山石网科,15.32,5.66,524.0,-3.04,4.73,302,-9.88,1.01,1118,-4.96,软件开发
15,688359,三孚新科,189.59,5.42,544.0,9.98,2.44,726,8.07,0.12,1592,30.43,电子化学品Ⅱ
147,688371,菲沃泰,34.69,5.26,583.0,-0.17,-4.48,3945,-8.71,-2.91,3789,-8.76,电子化学品Ⅱ
419,688052,纳芯微,272.8,4.63,683.0,-3.79,1.32,1124,2.33,-0.26,1828,14.95,半导体
55,688012,中微公司,414.22,4.31,727.0,3.78,0.96,1249,15.06,2.76,524,36.65,半导体
21,688720,艾森股份,95.81,3.92,786.0,8.63,0.0,1692,11.6,-0.87,2218,30.34,半导体
